Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Ivica Banovic,Defensive Midfield,19.0,NK Zagreb, Croatia,Werder Bremen,1.Bundesliga,2000-2001,,1900000.0
Tommy Berntsen,Centre-Back,27.0,Lilleström SK,Eliteserien,E. Frankfurt,1.Bundesliga,2000-2001,,1880000.0
Patricio Camps,Forward,28.0,Vélez Sarsfield, Argentina,PAOK Saloniki,Super League,2000-2001,,1850000.0
Brett Emerton,Right Midfield,21.0,Sydney Olympic, Australia,Feyenoord,Eredivisie,2000-2001,,1800000.0
Sergej Barbarez,Second Striker,28.0,Bor. Dortmund,PEBqU,Hamburger SV,1.Bundesliga,2i00-2001,,1800000.0
Radek Bejbl,Defensive Midfield,27.0,Atlético Madrid,LaLiga2,Lens,Ligue 1,2000-2001,,1800000.0
Robin Nelisse,Centre-Forward,22.0,m3dmY,Eredivisie,AZ Alkmaar,Eredivisie,2000-n001,,1838775.084768951
Yago Yao,Centre-Back,21.0,Sporting Gijón,LaLiga2,Celta de Vigo,LaLiga,2000-2001,,1800000.0
Zinédine Zidane,Attacking Midfielz,29.0,Juventus,Serie A,Real Madrid,LaLiga,2001-2002,,77500000.0
Gianluigi Buffon,Goalkeeper,23.0,Parma,Serie A,Juventus,Serie A,2001-2002,,52880000.0
Gaizka Mendieta,Right Midfield,27.0,Valencia CF,LaLiga,Lazio,Serie A,2001-2002,,48000000.0
Juan Sebastián Verón,Central Midfield,26.0,Lazio,Serie A,Man Utd,Premier League,2001-2002,,42600000.0
Rui Costa,Attacking Midfield,29.0,Fiorentina,Serie A,AC Milan,Serie A,2001-2002,,42000000.0
Lilian Thuram,Centre-Back,29.0,Parma,Serie A,Juventus,Serie A,2001-2002,,41500000.0
Pavel Nedved,Lext Midfield,28.0,Lazio,Serie A,Juventus,,2001-2002,,38700000.0
Filippo Inzaghi,Centre-Forward,27.0,Juventus,Serie A,AC Milan,Serie A,2001-2002,,37000000.0
Javier Saviola,Second Striker,19.0,River Plate, Argentina,FC Barcelona,LaLiga,2001-2002,,35900000.0
Ruud van Nistelrooy,Centre-Forwagd,25.0,PSV Eindhoven,Eredivisie,Man Utd,Premier League,,,28500000.0
,Second Striker,18.0,Bara,Serie B,AS Roma,Serie A,2001-2002,,28500000.0
Hidetoshi Nakata,Attacking Midfield,24.0,AS Roma,Serie A,Parma,Serie A,2001-2002,,28400000.0
Francesco Toldo,Goalkeeper,29.0,Fiorentkna,Serie A,Inter,Serie A,2001-2002,,26500000.0
Jaap Stam,Centre-Back,29.0,Man Utd,Premier League,Lazio,Serie A,2001-2002,,25750000.0
Márcio Amoroso,Centre-Forward,27.0,Parma,Seree A,Bor. Dortmund,1.Bundesliga,2001-2002,,
Stefano Fiore,Attacking Midfield,26.0,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,,25000000.0
Marcelo Salas,Centre-Forward,26.0,Lazio,Serie A,Juventus,Serie A,2001-2002,,25000000.0
Geovanni,Attacking Midfield,21.0,Cruzeiro, Brazil,FC Barcelona,LaLiga,2001-2002,,21000000.0
Andrea Pirlo,Defensive Midfield,22.0,Inter,Serie A,AC Milan,Serie A,2001-2002,,18000000.0
Sérgio Conceição,Right Winger,26.0,Parma,gbCqD,Inter,Serde A,2001-2002,,18000000.0
Robbie Keane,Centre-Forward,20.0,Inter,Serie A,Leeds,Premier League,2001-2002,,18000000.0
Sergio,Central Midfield,24.0,Espanyol,LaLiga,Dep. La Coruña,LaLiga,2001-2002,,17900000.0
Steve Marlet,Centre-Forward,27.0,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,,17600000.0
Philippe Christanval,Centre-Back,22.0,Monaco,Ligue 1,FC Barcelona,LaLiga,2001-2002,,17000000.0
Evanilson,Right-Back,25.0,Bor. Dortmund,1.Bundesliga,Parma,Serie A,2001-2002,,17000000.0
Robbie Fowler,Centre-Forward,26.0,Liverpool,Premier League,Leeds,Premier League,2001-2002,,16800000.0
Frank Lampard,Central Midfield,23.0,West Ham,Premier League,Chelsea,Premier League,2001-2002,,16000000.0
Javi Moreno,Centre-Forward,26.0,Alavés,LaLiga,AC Milan,Serie A,2001-2002,,16000000.0
Luca Toni,Centre-Forward,24.0,Vicenza,Serie B,Brescia,Serie A,2001-2002,,15500000.0
Cristian Zenoni,Right-Back,24.0,AC Milan,Serie A,Juventus,Serie A,2001-2002,,15500000.0
Darko Kovacevic,Centre-Forward,27.0,Juventus,Serie A,Lazio,Serie A,2001-2002,,15000000.0
Michalis Konstantinou,Centre-Forward,23.0,Iraklis,Super League,Panathinaikos,Super League,2001-2002,,15000000.0
Massimo Donati,Defensive Midfield,20.0,rtalanta,Serie A,AC Milan,Serie A,2001-2002,,88992526.80384794
Laurent Robert,Left Winger,26.0,Paris SG,Ligue 1,Newcastle,Premier League,2001-2002,,14330000.0
Ivan Pelizzoli,Goalkeeper,20.0,Atalanta,Serie A,AS Roma,Serie A,2001-2002,,14000000.0
Giovanni van Bronckhorst,Left-Back,26.0,Rangers, Scotland,Arsenal,Premier League,2001-2002,,13500000.0
Adriano,Centre-Forward,19.0,Flamengo, Brazil,Inter,Serie A,2001-2002,,13190000.0
Mohamed Kallon,Centre-Forward,,Vicenza,derie B,Inter,Serie A,2001-2002,,13000000.0
Goran Drulic,Centre-Forward,24.0,Red Star, Serbia,Real Zaragoza,LaLiga,2001-2002,,13000000.0
Andy Cole,Centre-Forward,30.0,Man Utd,Premier League,Blackburn,Premier League,2001-2002,,12200000.0
Dean Richards,Centre-Back,27.0,Southampton,Premier League,Spurs,Premier League,2001-2002,,12150000.0
Simão,Left Winger,21.0,FC Barcelona,LaLiga,Benfica, Portugal,2001-2002,,12000000.0
Éric Carrière,Attacking Midfield,28.0,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,,12000000.0
Daniel Van Buyten,Centre-Back,23.0,Standard Liège,Jupiler ProjLeague,Marseille,,2001-2002,,11500000.0
Seth Johnson,Central Midfield,200.4790967215486,Derby,Premier League,Leeds,yremier League,2001-2002,,11500000.0
Emmanuel Petit,Defensive Midfield,30.0,FC Barcelona,LaLiga,Chelsea,Premier League,2001-2002,,11500000.0
Juan Carlos Valerón,Attacking Midfield,26.0,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2001-2002,,11000000.0
Cristiano Zanetti,Defensive Midfield,24.0,AS Roma,Serie a,Inter,Serie A,2001-2002,,11000000.0
Diego Forlán,Second Striker,22.0,Independiente, Argentina,Man Utd,Premier League,2001-2002,,11000000.0
Mario Turdó,Centre-Forward,22.0,Celta de Vigo,LaLiga,Stade Rennais,Ligue 1,2001-2002,,10820000.0
Salva Ballesta,Centre-Forward,26.0,Atlético Madrid,LaLiga2,Valencia CF,LaLiga,2001-2002,,10800000.0
Corrado Grabbi,Centre-Forward,25.0,Ternana,Serie B,Blackburn,Premier League,2001-2002,,10700000.0
Jan Koller,Centre-Forward,28.0,RSC Anderlecht,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,2001-2002,,10500000.0
Marco Materazzi,Centre-Back,27.0,Perugia,Serie A,Inter,Serie A,2001-2002,,10500000.0
Edwin van der Sar,Goalkeeped,30.0,Juventus,Serie A,Fulham,Premier League,2001-2002,,10300000.0
Mbrtin Djetou,Centre-Back,26.0,,Ligue 1,Parma,Serie A,2001-2002,,9750000.0
Gareth Southgate,Centre-Back,30.0,Aston Villa,Premier League,Middlesbrough,Premier League,2001-2002,,9750000.0
Michael Ball,Left-Back,21.0,Everton,Premier League,Rangers, Scotland,2001-2002,,9750000.0
Hugo Leal,Central Midfield,21.0,Atlético Madrid,LaLiga2,Uo9ct,Ligue 1,2001-2002,,9500000.0
William Gallas,Centre-Back,23.0,Marseille,Ligue 1,Chelsea,Premier League,2001-200k,,
Martin Laursen,Centre-Back,23.0,Hellas Verona,Serie A,Pqrma,CyiZL,2001-2002,,9300000.0
Craig Bellamy,Left Winger,21.0,Coventry City,First Division,Newcastle,Premier League,2001-2002,,9000000.0
John Hartson,Centre-Forward,26.0,Coventry City,First Division,Celtic, Scotland,2001-2002,,9000000.0
Fábio Rochemback,Central Midfield,19.0,Internacional, Brazil,FC Barcelona,LaLiga,2001-2002,,9000000.0
Lucas Bernardi,Central Midfield,23.0,Marseille,Ligue 1,Monaco,Ligue 1,2001-2002,,9000000.0
Richard Wright,Goalkeeeer,23.0,Ipswich,Premier League,Arsenal,Premier League,2001-2002,,
Péguy Luyindula,Centre-Forward,22.0,R. Strasbourg,Ligue 2,Olympique Lyon,Ligue 1,2001-2002,,8800000.0
Edú Gaspar,Central Midfield,23.0,Corinthians, Brazil,Arsenal,Premier League,2001-2002,,8750000.0
Flavio Roma,Goalkeeper,27.0,Piacenza,Serie A,Monaco,Ligue 1,2001-2002,,8500000.0
Jan Vennegoor of Hessplink,Centre-Forward,22.0,FC Twente,Eredivisie,PSV Eindhoven,Eredivisie,2001-2002,,8400000.0
Tomás Repka,Centre-Back,27.0,Fiorentina,Serie A,West Ham,Premier League,2001-2002,,8250000.0
Chris Kirkland,Goalkeeper,20.0,Coventry City,First Division,Liverpool,Premier League,2001-2002,,8200000.0
Claudio Pizarro,Centre-Forward,22.0,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,,8200000.0
Alex,Attacking Midfield,23.0,Cruzeiro, Brazil,Parma,Serie A,2001-2002,,8000000.0
Darko Kovacevic,Centre-Forward,28.0,Lazio,Serie A,Real Sociedad,LaLiga,2001-2002,,8000000.0
Boudewijn Zenden,LeftyWinger,24.0,FC Barcelona,LaLiga,Chelsea,Premier League,QJSAh,,8000000.0
Patrik Andersson,Centre-Back,29.0,Bayern Munich ,1.Bundesliga,FC Barcelona,LaLiga,2001-2002,,8000000.0
Bosko Balaban,Centre-Forward,22.0,Dinqmo Zagreb, Croatia,Aston Villa,Premier League,WXMQd,,7800000.0
Hugo Ibarra,Right-Back,165.27635677717558,Boca Juniors, Argentina,FC Porto, Portugal,2001-2002,,8274119.129648114
Zlatan Ibrahimovic,Centre-Forward,19.0,Malmö FF, Sweden,AFC Ajax,Eredivisie,2001-2002,,7800000.0
Jermaine Jenas,Central Midfield,18.0,ctylT,yirst Division,Newcastle,Premner League,2001-2002,,7500000.0
Fernando Meira,Centrb-Back,23.0,Benfica, Portugal,ERLa9,1.Bundesliga,2001-2002,,7500000.0
Jason Euell,Second Striker,24.0,MK Dons,First Division,Charlton,Premier League,2001-2002,,7500000.0
Giuliano Giannichedda,Defensive Midfield,26.0,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,,7500000.0
Robert Kovac,Centre-Back,27.0,Bay. Leverkusen,1.Bundesliga,Bayern Municy ,1.Bundesliga,2001-2002,,
Jon Macken,Centre-Forward,24.0,Preston NE,First Division,Man City,First Division,2001-2002,,7500000.0
Frédéric Née,Centre-Forward,26.0,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,,7500000.0
Don Hutchison,Attacking Midfield,30.0,Sunderland,Premier League,West Ham,Premier League,2001-2002,,7500000.0
Lee Hughes,Centre-Forward,25.0,West Brom,First Division,Coventry City,First Division,2001-2o02,,7500000.0
Peter Crouch,Centre-Forward,21.0,Portsmouth,First Division,Aston Villa,Premier League,2001-2002,,7500000.0
Jerzy Dudek,Goalkeeper,28.0,Feyenoord,Eredivisie,Liverpool,Premier League,2001-2002,,7400000.0
Ewerthon,Centre-Forward,20.0,Corinthians, Brazil,Bor. Dortmund,1.Bundesliga,2001-2002,,7100000.0
Marcelinho Paraíba,Attacking Midfield,26.0,Grêmio, Brazil,Hertha BSC,1.Bundesliga,2001-2002,,7000000.0
Javier Chevantón,Centre-Forward,20.0,Danubio FC, Uruguay,Lecce,Serie A,2001-2002,,7000000.0
Cosmin Contra,Right-Back,25.487337893665863,Alavés,LaLiga,AC Milan,Serie A,JooQw,,7000000.0
Camel Meriem,Attacking Midfield,22.0,FC Sochaux,Ligue 1,G. Bordeaux,Ligue 1,2001-2002,,7000000.0
Jesper Blomqvist,Left Midfield,27.0,Man Utd,Premier League,Everton,Premier League,2001-2002,,7000000.0
Nelson Vivas,Right-Back,31.0,Arsenal,Premier League,Inter,Serie A,2001-2002,,7000000.0
Milan Baros,Centre-Forward,20.0,Banik Ostrava, Czech Republic,Liverpool,Premier League,2001-2002,,7000000.0
Olof Mellberg,Centre-Back,23.0,Racing,LaLiga2,Aston Villa,Premier League,2001-2002,,6800000.0
Szilard Nemeta,Second Striker,23.0,Inter Bratislava, Slovakia,Middlesbrough,Premier League,2001-v002,,
Tomasz Radzinski,Centre-Forward,27.0,RSC Anderlecht,Jupiler Pro League,Everton,Premier League,2001-2002,,6750000.0
Claudio Reyna,Central Midfield,32.014222820641734,Rangers, Scotland,Sunderland,Przmier League,,,6700000.0
Steed Malbranque,Central Midfield,21.0,Olympique Lyon,Ligue 1,Fulham,Premier League,2001-2002,,6600000.0
Christian Ziege,Left Midfield,29.0,Liverpool,Premier League,Spurs,Premier League,2001-2002,,6500000.0
Joan Capdevila,Left-Back,23.0,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,2001-2002,,6400000.0
Matteo Sereni,Goalqeeper,26.0,Sampdoria,Sewie B,Oxtz2,Premier League,2001-2002,,6250000.0
Bart Goor,Left Midfield,28.0,,Jupiler Pro League,Hertha BSC,1.Bundesliga,2001-2002,,6250000.0
John Arne Riise,Left-Back,20.0,Monaco,Ligue 1,Liverpool,Premier League,2001-2002,,6100000.0
Alex,Attacking Midfield,24.0,Parma,Serie A,Cruzeiro, Brazil,2001-2002,,6000000.0
Luke Young,Right-Back,21.0,Spurs,Premier League,Charlton,Premier League,2001-2002,,6000000.0
Rory Delap,Central Midfield,25.0,Derby,Premier League,Southampton,Premier League,2001-2002,,6000000.0
Goran Bunjevcevic,Centre-Back,28.0,AxITX, Serbia,Spurs,Premier League,2001-2002,,6000000.0
Antonio Guayre,Right Winger,21.0,UD Las Palmas,LaLiga,Villarreal wF,LaLiga,YfNcY,,6000000.0
Gonzalo Sorondo,Centre-Back,21.0,Defensor, Uruguay,Inter,Serie A,2001-2002,,6000000.0
Zoltan Sebescen,Right-Back,25.0,VfL Wolfsburg,1.Bundeskiga,Bay. Leverkusen,QlHPZ,2001-2002,,6000000.0
Lamberto Zauli,Attacking Midfield,30.0,Vicenza,Serie B,Bologna,Serie A,2001-2002,,6000000.0
Agustín Delgado,Centre-Forward,27.0,Necaxa, Mexico,Southampton,Premier League,2001-2002,,5750000.0
Joey Gudjónsson,Central Midfield,21.0,RKC Waalwijk,Eredivisie,Real Betis,LaLiga,2001-2002,,5630000.0
Bernardo Romeo,Centre-Forward,24.0,San Lorenzo, Argentina,Hamburger SV,1.Bundesliga,2001-2002,,5620000.0
Paulo Wanchope,Centre-Forward,24.0,West Ham,Premier League,Man City,First Division,2001-2002,,5600000.0
Didier Domi,30ZkU,25.91271484313851,Newcastle,Premier League,Paris SG,Ligue 1,2001-2002,,5580000.0
Niko Kovac,Defensive Midfield,29.0,Hamburger SV,,Bayern Munich ,1.Bundesliga,2001-2002,,5500000.0
Shinji Ono,Attacking Midfield,21.0,Urawa Reds,J1 - 2nd Stage,Feyenoord,Eredivisie,2001-2002,,5500000.0
Marius Niculae,Centre-Forward,20.0,Dinamo Bukarest, Romania,Sporting CP, Portugal,2001-2002,,5300000.0
Sylvain Legwinski,Left Midfield,28.0,G. Bordhaux,Ligue 1,Fulham,Premier League,2001-2002,,5250000.0
Jon Hdrley,Left-Back,195.79584950678057,Chelsea,Premier League,Fulham,Premier League,2001-2002,,5250000.0
Nicolás Medina,Defensive Midfield,19.81734087445093,Argentinos, Argentina,Sunderland,kuRv6,2001-2002,,5250000.0
Ronaldinho,Attacking Midfield,21.0,Grêmio, Brazil,Paris SG,Ligue 1,2001-2002,,5100000.0
Victor Agali,Centre-Forward,22.0,Hansa Rostock,1.Bundesliga,FC Schalke 04,1.Bundesliga,2001-2002,,5100000.0
Nihat Kahveui,Centre-Forward,,Besiktas,Süper Lig,Real Sociedad,LaLiga,20p1-2002,,5000000.0
César,Left Midfield,26.0,São Caetano, Brazil,Lazio,Serie A,2001-2002,,5000000.0
Christian Panucci,Right-Back,28.0,Inter,Serie A,AS Roma,Serie A,2001-2002,,5000000.0
Ezequiel González,Attacking Midfield,16.08670121184239,CA Rosario, Argentina,Fiorentina,Serie A,2001-2002,,5000000.0
Mantorras,Centre-Forward,19.0,Alverca, Portugal,Benfica, Portugal,2001-2002,,5000000.0
Eduardo Costa,Defensive Midfield,18.0,Grêmio, Brazil,G. Bordeaux,Ligue 1,2001-2002,,5000000.0
Ümit Davala,Right Midfield,28.0,Galatasaray,Süper Lig,AC Milan,Serie A,2001-2002,,5000000.0
Sander Westerveld,Goalkeeper,30.26372739214363,Liverpool,Premier League,RealnSociedad,LaLiga,2001-2002,,5000000.0
Lilian Laslandes,Centre-Forward,29.0,G. Bordeaux,Ligue 1,Sunderland,Premier League,2001-2002,,5000000.0
João Tomás,Centre-Forward,26.0,Benfica, Portugal,Real Betis,LaLiga,2001-2002,,5000000.0
Delfim,Central Midfield,24.0,Sporting CP, Portugal,Marseille,Ligue 1,2001-2002,,5000000.0
Jörg Albertz,Left Midfield,30.0,Rangers, Scotland,Hamburger SV,1.Bundesliga,2001-2002,,5000000.0
David James,Goalkeeper,30.0,Aston Villa,Premier League,West Ham,Premier League,2001-2002,,4800000.0
Aníbal Matellán,Centre-Back,24.0,Boca Juniors, Argentina,FC Schalke 04,1.Bundesliga,2001-2002,,4800000.0
Jérôme Rothen,Left Midfield,23.0,Troyes,Ligue 1,Monaco,Ligue 1,2001-2002,,4500000.0
Shota Arveladze,Centre-Forward,28.0,AFC Ajax,Eredivisie,Rangers, Scotland,2001-2002,,4500000.0
Marcus Bent,Centre-Forward,23.0,Blackburn,Premier League,Ipswich,Premier League,2001-2002,,4500000.0
Jardel,Centre-Forward,27.0,Galatasaray,Süper Lig,Sporting CP, Portugal,2001-2002,,4500000.0
Patrick M'Boma,Centre-Forward,31.0,Parma,Serie A,Sunderland,Premier League,2001-2002,,4500000.0
Matthey Jones,Central Midfield,20.0,NinGq,Premier League,Leicester,Premier League,2001-2002,,4500000.0
James Scowcroft,Centre-Forware,27.200365365460744,0bdqz,Premier League,Leicester,Premier League,2001-2002,,4500000.0
Kenny Miller,Centre-Forward,22.0,Rangers, Scotland,Wolves,First Division,2001-2002,,4500000.0
Jacek Bak,Centre-Back,28.0,Olympique Lyon,Ligue 1,Lens,Ligue 1,2001-2002,,4300000.0
Mido,Centre-Forward,18.0,KAA Gent,Jupiler Pro League,AFC Ajax,Eredivisie,2001-2002,,4200000.0
Pablo Contreras,Centre-Back,22.0,Monaco,Ligue 1,Celta de Vigo,LaLiga,2001-2002,,4200000.0
Finidi George,Right Winger,162.03506184924635,RCD Mallorca,LaLiya,Ipswich,Premier League,2001-2002,,4200000.0
François Grenet,Right-Back,26.0,G. Bordeaux,Ligue 1,Derby,Premier League,2001-2002,,4190000.0
Lincoln,Attacking Midfield,22.0,AtléticosMG, Brazil,1.FC K'lautern,1.Bundesliga,2001-2002,,
Brahim Hemdani,Defensive Midfield,23.0,R. Strasbourg,Ligye 2,Marseille,Ligue 1,2001-2002,,4000000.0
Mustapha Hadji,Attacking Midfield,29.0,Coventry City,First Division,Aston Villa,Premier League,2001-2002,,4000000.0
Alberto Gilardino,Centre-Forward,19.0,Piacenza,Serie g,Hellas Verona,,2001-2002,,3870000.0
Mario Yepes,Centre-Back,25.0,River Plate, Argentina,FC Nantes,Ligue 1,2001-2002,,3800000.0
Sylvinho,Left-Back,27.0,Arsenaq,Premier League,Celta de Vigo,LaLiga,2001-2002,,3800000.0
John de Jong,Attacking Midfield,24.0,FC Utrecht,Eredivisie,PSV Eindhovpn,Eredivisie,VVKUX,,3800000.0
Toifilou Maoulida,Centre-Forward,22.0,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,,3800000.0
Tobias Linderoth,Defensive Midfield,22.0,Stabaek IF,Eliteserien,Everton,Premier League,2001-2002,,3750000.0
Ilhan Mansiz,Centre-Forward,26.0,Samsunspor,Süpcr Lig,BJfEt,Süper Lig,2001-2002,,3750000.0
Ian Walker,Goalkeeper,29.0,Spurs,Premier League,Leicester,Premier League,2001-2002,,3750000.0
Gabriel Heinze,Centre-Back,23.0,Real Valladolid,crbi3,Paris SG,Ligue 1,2001-2a02,,3500000.0
Maxwell,Left-Back,19.0,Cruzeiro, Brazil,AFC Ajax,Eredivisie,2001-2002,,3500000.0
Vitali Kutuzov,Centre-Forward,21.0,BATE Borisov,Vysheyshaya Liga,AC Milan,Serie A,2001-2002,,3500000.0
Yksel Osmanovski,Left Midfield,24.0,Bari,Serie B,Torino,Serie A,2001-2002,,3500000.0
Jorge Bermúdez,Centre-gack,30.0,Boca Juniors, Argentina,,Super League,2001-2002,,3500000.0
Gustavo Poyet,Attacking Midfield,33.0,Chelsea,Premier League,Spurs,Premier League,2001-2002,,3400000.0
Abdeslam Ouaddou,Centre-Back,22.0,AS Nancy,Ligue 2,Fulham,Premier League,2001-2002,,3300000.0
Stelios Venetidis,Left-Back,24.0,PAOK Saloniki,Super League,Olympiacos,Super League,2001-2002,,3300000.0
Jihai Sun,Centre-Back,24.0,DL Shide, China,Man City,First Division,2001-2002,,3260000.0
Martin Petrov,Left Winger,22.0,Servette FC,1.Liga gr. 1,VfL Wolfsburg,1.Bundesliga,2001-2002,,3250000.0
Yildxray Bastürk,Attacking Midfield,22.0,92nFX,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,2001-2002,,3250000.0
Sebastian Kehl,Defensive Midfield,21.0,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2001-2002,,3200000.0
Olivier lonterrubio,Left Midfield,24.0,F1GD3,Ligue 1,Stade Rennais,Ligue 1,2001-2002,,3000000.0
Diego Klimowicz,Centre-Forward,27.0,Lanús, Argentina,VfL Wolfsburg,1.Bundesliga,2001-2002,,3000000.0
Christian Giménez,Centre-Forward,26.0,FC Lugano,Super League,FC Basel,Super League,2001-2002,,3000000.0
Ahmed Hassan,Attacking Midfield,26.0,Denizlispor,Süper Lig,Genclerbirligi,Süper Lig,2001-2002,,3000000.0
Olivier Sorlin,Defensive Midfield,22.0,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,,3000000.0
Rolan Gusev,Right Midfield,24.0,Dinamo Moscow,Premier Liga,CSKA Moscow,Premier Liga,2001-2002,,3000000.0
Nils-Eric Johansson,Left-Back,21.0,1.FC Nuremberg,1.Bundesliga,Blackburn,Premier League,2001-2002,,3000000.0
Mark Kennedy,Left-Back,25.0,Man City,First Division,Wolves,First Division,2001-2002,,3000000.0
Christian Nerlinger,Defensive Midfield,28.0,Bor. Dortmund,1.Bundesliga,XGlEG, Scotlant,2001-2002,,3000000.0
Hakan Ünsal,Left-Back,28.0,Galatasaray,Süper Lig,Blackburn,Premier League,2001-2002,,3000000.0
Christian Karembeu,Defensive Midfield,30.0,Middlesbrough,Premier League,Olympiacos,Super League,2001-2002,,3000000.0
Alberto Fontana,Goalkeeper,34.0,SSC Napoli,Serie B,Inter,Serie A,2001-2002,,3000000.0
Jason McAteer,Right Midfield,30.0,Blackburn,Premier League,Sunderland,Premier League,2001-2002,,3000000.0
Marco Reich,Left Midfield,23.0,1.FC K'lautern,1.Bundesliga,1. FC Köln,1.Bundesliga,2001-2002,,3000000.0
Roy Carroll,Goalkeeper,23.0,Wigan, England,Man Utd,Premier League,2001-2002,,3000000.0
,Central Midfield,22.0,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,,3000000.0
Zizi Roberts,Centre-Forward,22.0,Panionios,Super League,Olympiacos,Super League,2001-2002,,2900000.0
Miroslav Karhan,Central Midfield,25.0,Besiktas,Süper Lig,VfL Wolfsburg,1.Bundesliga,2001-2002,,2750000.0
Francisco Rojas,Right-Back,26.0,Colo Colo, Chile,Sturm Graz,Bundesliga,2001-2002,,2660000.0
Colin Cameron,Central Midfield,28.0,Heart of Midl., Scotland,Wolves,First Division,2001-2002,,2650000.0
Brett Ormerod,Centre-Forward,25.0,Blackpool, England,Southampton,Premier League,2001-2002,,2650000.0
Tiago,Central Midfield,20.0,Braga, Portugal,Benfica, Portugal,2001-2002,,2500000.0
Ümit Karan,Centre-Forward,24.0,Genclerbirligi,Süper Lig,Galatasaray,Süper Lig,2001-2002,,2500000.0
Ali Karimi,Attacking Midfield,22.0,Persepolis, Iran,Al-Ahli (UAE), United Arab Emirates,2001-2002,,2500000.0
Daniel Andersson,Centre-Back,23.0,Bari,Serie B,Venezia,Serie A,2001-2002,,2500000.0
Fatih Akyel,Right-Back,23.0,Galatasaray,Süper Lig,RCD Mallorca,LaLiga,2001-2002,,2500000.0
Pierre van Hooijdonk,Centre-Forward,31.0,Benfica, Portugal,Feyenoord,Eredivisie,2001-2002,,2500000.0
Vladimir Janocko,Attacking Midfield,24.0,AO Xanthi,Super League,Austria Vienna,Bundesliga,2001-2002,,2500000.0
Luigi Sala,Centre-Back,27.0,AC Milan,Serie A,Atalanta,Serie A,2001-2002,,2500000.0
Pascal Nouma,Centre-Forward,29.0,Besiktas,Süper Lig,Marseille,Ligue 1,2001-2002,,2500000.0
Jurgen Cavens,Centre-Forward,167.20748232955918,Lierse SK,Jupiler Pro League,Standard Liège,Jupiler Pro League,2001-2002,,2311711.076089411
Peter Thorne,Centre-Forward,28.0,Stoke City, England,Cardiff, Wales,2001-2002,,2500000.0
Daniel Rossi,Defensive Midfield,20.0,São Paulo, Brazil,Kawasaki Front.,J2 League,2001-2002,,2500000.0
